purchase_date,year,month,day_of_week,time_of_day,weather,age_group,gender,persona,purchase_tendency,product_name,price
2022-01-01 14:14:08,2022,1,Saturday,14:14:08,曇り,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],55.62
2022-01-01 14:28:21,2022,1,Saturday,14:28:21,曇り,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['野菜飲料'],2203.68
2022-01-01 14:42:23,2022,1,Saturday,14:42:23,雨,40代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['野菜飲料'],1996.17
2022-01-01 14:56:33,2022,1,Saturday,14:56:33,曇り,10代,女性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.2, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.30000000000000004, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['野菜飲料'],1064.2
2022-01-01 14:56:45,2022,1,Saturday,14:56:45,晴れ,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['おにぎり'],1080.41
2022-01-01 15:01:39,2022,1,Saturday,15:01:39,曇り,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],162.99
2022-01-01 15:08:46,2022,1,Saturday,15:08:46,曇り,20代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],183.96
2022-01-01 15:16:40,2022,1,Saturday,15:16:40,曇り,50代以上,男性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['アイス'],135.68
2022-01-01 15:43:57,2022,1,Saturday,15:43:57,曇り,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['野菜飲料'],1239.87
2022-01-01 15:50:52,2022,1,Saturday,15:50:52,晴れ,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],162.48
2022-01-01 16:09:18,2022,1,Saturday,16:09:18,曇り,20代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['エナジードリンク'],627.55
2022-01-01 16:22:58,2022,1,Saturday,16:22:58,雨,20代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.1, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['野菜飲料'],2272.83
2022-01-01 18:26:48,2022,1,Saturday,18:26:48,曇り,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['エナジードリンク'],243.29
2022-01-01 18:28:25,2022,1,Saturday,18:28:25,雨,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['傘'],1024.9
2022-01-01 19:05:05,2022,1,Saturday,19:05:05,雨,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.5}",['お菓子'],148.18
2022-01-01 19:29:41,2022,1,Saturday,19:29:41,雪,20代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.25, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.1}",['エナジードリンク'],737.6
2022-01-01 19:53:07,2022,1,Saturday,19:53:07,曇り,40代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.15000000000000002, '傘': 0.0}",['野菜飲料'],2946.13
2022-01-01 20:51:24,2022,1,Saturday,20:51:24,晴れ,20代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.1, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['ビッグ弁当'],429.47
2022-01-01 21:57:46,2022,1,Saturday,21:57:46,晴れ,10代,男性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.45, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],60.18
2022-01-01 22:03:52,2022,1,Saturday,22:03:52,晴れ,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['お菓子'],146.31
2022-01-01 22:08:32,2022,1,Saturday,22:08:32,雪,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.8, 'アイス': 0.05, '傘': 0.1}",['お菓子'],131.21
2022-01-01 23:48:48,2022,1,Saturday,23:48:48,晴れ,10代,男性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.45, 'お菓子': 0.6000000000000001, 'アイス': 0.2, '傘': 0.0}",['おにぎり'],633.2
2022-01-02 08:09:07,2022,1,Sunday,08:09:07,雨,30代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.25, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['ビッグ弁当'],1188.16
2022-01-02 09:55:06,2022,1,Sunday,09:55:06,曇り,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['お菓子'],172.96
2022-01-02 10:18:29,2022,1,Sunday,10:18:29,雨,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['清涼飲料水'],1035.11
2022-01-02 10:29:54,2022,1,Sunday,10:29:54,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['エナジードリンク'],357.87
2022-01-02 10:31:36,2022,1,Sunday,10:31:36,曇り,50代以上,男性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['野菜飲料'],2040.18
2022-01-02 10:37:13,2022,1,Sunday,10:37:13,雨,30代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.1, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['清涼飲料水'],1129.61
2022-01-02 10:52:45,2022,1,Sunday,10:52:45,晴れ,30代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.1, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['エナジードリンク'],271.49
2022-01-02 11:02:49,2022,1,Sunday,11:02:49,雪,50代以上,男性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['お菓子'],93.01
2022-01-02 11:27:31,2022,1,Sunday,11:27:31,曇り,40代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['おにぎり'],789.42
2022-01-02 12:01:55,2022,1,Sunday,12:01:55,雨,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],1001.9
2022-01-02 12:08:44,2022,1,Sunday,12:08:44,晴れ,40代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['清涼飲料水'],1117.49
2022-01-02 12:17:54,2022,1,Sunday,12:17:54,雪,40代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['野菜飲料'],1691.75
2022-01-02 13:10:16,2022,1,Sunday,13:10:16,雪,30代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.25, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['エナジードリンク'],470.13
2022-01-02 15:20:22,2022,1,Sunday,15:20:22,曇り,40代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['おにぎり'],502.14
2022-01-02 15:23:31,2022,1,Sunday,15:23:31,雪,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['お菓子'],119.89
2022-01-02 15:28:22,2022,1,Sunday,15:28:22,雪,40代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['お菓子'],105.48
2022-01-02 16:11:25,2022,1,Sunday,16:11:25,晴れ,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],107.36
2022-01-02 17:06:03,2022,1,Sunday,17:06:03,雪,20代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.1, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['野菜飲料'],1842.24
2022-01-02 17:30:28,2022,1,Sunday,17:30:28,曇り,10代,女性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.2, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.30000000000000004, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['エナジードリンク'],252.9
2022-01-02 17:32:56,2022,1,Sunday,17:32:56,晴れ,40代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['おにぎり'],1123.25
2022-01-02 17:35:26,2022,1,Sunday,17:35:26,晴れ,30代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.25, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['ビッグ弁当'],1293.36
2022-01-02 17:45:09,2022,1,Sunday,17:45:09,晴れ,10代,男性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.45, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['アイス'],154.89
2022-01-02 18:37:00,2022,1,Sunday,18:37:00,雨,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['清涼飲料水'],479.95
2022-01-02 19:27:47,2022,1,Sunday,19:27:47,晴れ,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],61.19
2022-01-02 20:14:17,2022,1,Sunday,20:14:17,晴れ,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['おにぎり'],1836.54
2022-01-02 20:41:40,2022,1,Sunday,20:41:40,晴れ,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['エナジードリンク'],466.09
2022-01-02 21:37:22,2022,1,Sunday,21:37:22,雨,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['おにぎり'],1613.77
2022-01-02 21:50:14,2022,1,Sunday,21:50:14,晴れ,10代,男性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.45, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['ビッグ弁当'],841.52
2022-01-02 22:29:28,2022,1,Sunday,22:29:28,雨,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],1033.04
2022-01-02 23:15:52,2022,1,Sunday,23:15:52,雨,10代,女性,学生,"{'おにぎり': 0.1, '野菜飲料': 0.2, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.30000000000000004, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['ビッグ弁当'],1426.22
2022-01-03 11:53:29,2022,1,Monday,11:53:29,晴れ,40代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],66.86
2022-01-03 12:00:23,2022,1,Monday,12:00:23,曇り,30代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['ビッグ弁当'],745.44
2022-01-03 12:13:53,2022,1,Monday,12:13:53,曇り,40代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['ビッグ弁当'],1404.1
2022-01-03 12:37:06,2022,1,Monday,12:37:06,雪,10代,男性,社会人,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.45, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['ビッグ弁当'],1234.95
2022-01-03 12:56:09,2022,1,Monday,12:56:09,曇り,50代以上,男性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['アイス'],132.21
2022-01-03 13:19:29,2022,1,Monday,13:19:29,晴れ,50代以上,男性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['お菓子'],181.67
2022-01-03 13:31:30,2022,1,Monday,13:31:30,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['野菜飲料'],1241.5
2022-01-03 14:38:18,2022,1,Monday,14:38:18,曇り,10代,男性,社会人,"{'おにぎり': 0.1, '野菜飲料': 0.05, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.45, 'お菓子': 0.2, 'アイス': 0.1, '傘': 0.0}",['アイス'],216.37
2022-01-03 14:58:41,2022,1,Monday,14:58:41,雪,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['清涼飲料水'],789.65
2022-01-03 16:16:52,2022,1,Monday,16:16:52,晴れ,50代以上,女性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['清涼飲料水'],406.87
2022-01-03 16:18:13,2022,1,Monday,16:18:13,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],1142.87
2022-01-03 16:20:56,2022,1,Monday,16:20:56,晴れ,20代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['ビッグ弁当'],824.27
2022-01-03 16:29:56,2022,1,Monday,16:29:56,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],1475.66
2022-01-03 17:19:00,2022,1,Monday,17:19:00,晴れ,30代,女性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.2, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.1, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['おにぎり'],1822.87
2022-01-03 17:44:53,2022,1,Monday,17:44:53,晴れ,20代,男性,学生,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.35, '清涼飲料水': 0.15000000000000002, 'ビッグ弁当': 0.25, 'お菓子': 0.2, 'アイス': 0.15000000000000002, '傘': 0.0}",['清涼飲料水'],626.98
2022-01-03 17:54:33,2022,1,Monday,17:54:33,雨,20代,男性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.05, 'エナジードリンク': 0.25, '清涼飲料水': 0.25, 'ビッグ弁当': 0.25, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],707.09
2022-01-03 18:07:32,2022,1,Monday,18:07:32,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['エナジードリンク'],729.31
2022-01-03 18:08:34,2022,1,Monday,18:08:34,雪,50代以上,男性,社会人,"{'おにぎり': 0.3, '野菜飲料': 0.25, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.15000000000000002, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.1}",['お菓子'],196.11
2022-01-03 18:40:32,2022,1,Monday,18:40:32,雨,50代以上,女性,学生,"{'おにぎり': 0.3, '野菜飲料': 0.4, 'エナジードリンク': 0.15000000000000002, '清涼飲料水': 0.25, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['傘'],1144.06
2022-01-03 18:43:17,2022,1,Monday,18:43:17,雨,40代,女性,社会人,"{'おにぎり': 0.2, '野菜飲料': 0.4, 'エナジードリンク': 0.05, '清涼飲料水': 0.35, 'ビッグ弁当': 0.0, 'お菓子': 0.4, 'アイス': 0.0, '傘': 0.5}",['野菜飲料'],1151.46
